customer_id,customer_name,email,orders_count,total_spent
39,Linda Cobb,gdavis@yahoo.com,5,8862.51
36,Jessica Barnes,erica49@yahoo.com,4,8396.45
83,Harry Foster,greenrichard@gmail.com,6,7927.14
98,Allison Miller,dwatts@gmail.com,4,6621.13
40,Pamela Good,opatel@gmail.com,4,6226.82
80,Laura Martin,kdillon@gmail.com,4,5903.93
23,Donald Perez,vjones@hotmail.com,4,5865.72
61,Wayne Wilkerson,george62@hotmail.com,4,5692.04
91,Kimberly Morris,osmith@hotmail.com,3,5600.26
63,Miguel Shaw,millerangela@hotmail.com,4,5541.06
